Probe	E14.5_R1	E14.5_R2	Neonatal_R1	Neonatal_R2	Adult_R1	Adult_R2	TAC_R1	TAC_R2
Rpl7	6692	6313	2337	2889	1637	1709	2094	1905
Rdh10	509	617	554	666	150	161	200	229
Stau2	1534	2120	2228	2252	1381	1408	1627	1479
Gm7568	2	4	3	2	4	1	1	6
Ube2w	1380	1661	1388	1478	505	480	619	640
Tceb1	1230	1236	742	965	622	585	666	674
Tmem70	360	348	334	382	412	494	467	439
Ly96	83	84	191	181	108	73	119	83
Gm5828	19	16	9	13	2	1	0	1
Jph1	744	1029	791	1183	671	792	627	685
Gdap1	10	12	5	9	0	1	5	0
Pi15	114	114	536	493	98	59	200	209
Gm16070	12	13	23	19	21	5	30	27
Crispld1	150	139	102	90	53	24	169	97
Crisp4	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0
Defb41	5	2	1	0	0	0	0	0
Gm15825	2	0	0	1	0	0	0	0
Tfap2d	0	1	1	0	0	0	1	0
Tfap2b	5	5	2	1	1	1	3	2
AC163028.1	0	0	0	0	0	0	0	0
Pkhd1	64	82	49	52	22	24	27	26
4930486I03Rik	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0
Il17f	7	15	6	4	0	0	0	0
Mcm3	1649	1500	640	643	87	58	187	166
Paqr8	121	148	99	94	42	38	49	41
Efhc1	22	29	43	14	12	19	31	31
Tram2	331	523	821	704	168	178	300	279
Tmem14a	38	54	32	33	37	38	33	21
Gsta3	10	15	12	21	177	231	40	60
AC163025.1	0	0	0	0	0	0	0	0
Khdc1a	0	1	0	0	0	0	0	0
Khdc1c	1	2	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0
Kcnq5	7351	11192	7326	5138	199	119	257	183
Rims1	494	778	318	386	25	11	35	24
4933415F23Rik	0	0	0	0	0	0	0	0
Gm6420	0	0	0	1	0	0	0	0
Mir30a	0	0	0	0	1	0	0	0
Mir30c-2	1	0	1	2	0	0	0	1
Ogfrl1	453	440	263	288	378	366	577	437
B3gat2	37	37	29	28	18	10	10	9
Smap1	1252	1599	1785	1858	713	664	879	1008
1110058L19Rik	117	94	99	77	152	136	194	175
Fam135a	2162	2687	1995	2382	852	779	1082	977
Col9a1	141	131	74	25	0	0	2	0
Col19a1	27	34	37	22	3	2	8	7
Gm10222	11	5	12	2	385	118	48	19
Lmbrd1	1211	1597	1521	1578	838	833	1051	977
Bai3	207	334	151	147	46	42	51	45
Gm9884	0	0	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0	0	0
AC157803.1	0	0	0	0	0	0	0	0
Gm597	0	0	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0	0	0
AC130205.1	0	0	0	0	0	0	0	0
AC163659.2	0	0	0	0	0	0	0	0
AC163659.1	0	0	0	0	0	0	0	0
AC126798.1	0	0	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0	0	0
Phf3	3092	3522	2718	3366	1164	1177	1350	1246
Ptp4a1	1992	2100	1609	1888	1165	1237	1566	1312
Gm5698	0	0	0	0	0	0	0	0
Gm5699	0	0	0	0	0	0	0	1
4931428L18Rik	5	6	7	9	3	1	4	2
Lgsn	1	0	0	0	0	0	4	0
4930521A18Rik	0	0	0	0	0	0	0	0
AC121888.1	0	0	0	0	0	0	0	0
Gm10307	9	3	1	0	1	1	1	2
Khdrbs2	164	223	164	152	56	51	98	70
Gm9839	0	0	0	0	0	0	0	0
Gm5415	3	9	7	4	2	1	5	1
Prim2	937	1228	1256	928	259	207	348	329
1700001G17Rik	0	2	6	2	0	0	0	0
Rab23	226	235	215	191	104	102	203	198
Bag2	538	547	349	437	302	302	465	479
Zfp451	1802	2331	1921	2327	615	597	750	807
Bend6	146	148	81	81	28	21	50	41
Dst	16086	19851	20669	25666	19831	20118	35142	28689
Mir5103	0	0	0	0	0	0	0	0
Ccdc115	203	200	142	170	122	113	143	150
Imp4	451	441	275	261	104	111	158	139
Ptpn18	69	91	73	62	71	48	75	79
Prss39	0	0	1	1	0	0	0	0
Cfc1	0	0	0	0	0	0	0	0
Prss40	0	0	0	0	0	0	0	0
1700101I19Rik	0	0	0	0	0	0	0	0
Fam123c	0	0	0	0	0	0	0	0
C230030N03Rik	400	472	90	113	14	8	17	19
Fam168b	1853	2145	1412	1533	655	714	765	796
Plekhb2	514	530	437	446	620	647	694	712
Hs6st1	925	1102	666	1019	268	275	379	357
Uggt1	3513	3661	2535	2746	1218	1246	1562	1546
Neurl3	295	267	427	720	93	59	118	163
Arid5a	685	682	640	790	206	245	235	325
Kansl3	1962	2002	1517	1891	901	926	1055	1058
Lman2l	355	433	306	406	230	220	234	251
Cnnm4	251	324	252	280	97	92	113	144
Cnnm3	235	262	215	289	146	161	167	153
Ankrd23	184	160	476	569	2001	1841	7485	6426
Ankrd39	58	72	73	54	34	35	65	58
Sema4c	338	341	294	243	80	79	138	142
D430040D24Rik	34	48	47	33	14	12	29	20
Fam178b	15	21	39	12	3	2	3	1
AC084389.1	0	0	0	0	0	0	0	0
Cox5b	3195	3436	2487	3446	6007	7123	6049	6324
Actr1b	868	810	580	695	406	432	684	600
Zap70	10	8	7	10	3	1	3	4
Tmem131	1969	2581	3420	3517	1324	1368	1320	1492
Rpl12-ps1	5	2	1	0	0	1	1	0
AC122872.1	0	0	0	0	0	0	0	0
Cnga3	8	8	13	3	68	66	79	64
Inpp4a	585	774	762	803	781	765	855	976
4930439A04Rik	0	2	0	0	2	0	1	0
6330578E17Rik	895	884	744	881	916	850	1177	1081
Unc50	501	467	324	336	155	178	247	244
Mgat4a	650	772	1888	1455	485	388	614	789
2010300C02Rik	375	502	136	159	44	38	19	25
4930556I23Rik	0	0	0	0	0	0	0	0
Tsga10	343	468	427	385	233	244	264	302
Lipt1	117	96	71	97	56	72	87	68
Mitd1	127	115	293	410	80	63	139	121
Mrpl30	708	688	614	784	1105	1205	1187	1199
Lyg2	0	1	2	0	0	1	0	0
Gm15457	2	1	9	3	0	1	1	0
Lyg1	4	2	3	4	0	0	0	0
Txndc9	1149	1099	709	755	487	473	593	576
Eif5b	2143	2235	1892	2429	1353	1323	1515	1589
Rev1	2294	2966	2198	3149	1030	1061	920	974
Aff3	804	1282	1305	994	272	205	497	436
Gm16150	0	4	1	0	0	0	0	0
Gm16151	3	0	2	1	0	0	2	0
Gm16152	0	2	1	0	0	0	0	0
Lonrf2	125	148	114	105	176	213	190	147
Chst10	32	37	34	16	5	8	13	7
Nms	0	0	0	0	0	0	0	0
Pdcl3	581	517	348	399	310	316	436	418
Npas2	378	547	1927	2483	230	221	311	243
Rpl31	6165	5641	2779	3239	970	1040	1361	1312
Tbc1d8	676	728	656	685	269	268	331	366
D1Bwg0212e	493	506	272	279	176	189	203	202
Gm15832	1292	1441	947	862	314	303	507	460
Creg2	12	10	14	4	3	3	6	11
Rfx8	21	23	105	38	10	7	21	18
Gm3646	12	9	22	29	51	53	55	54
Map4k4	8955	9993	11146	10949	2911	2811	4259	3958
Il1r2	29	26	63	16	8	12	22	42
Il1r1	1215	1508	2462	2036	383	332	470	491
Il1rl2	203	261	423	287	48	45	89	96
Il1rl1	57	69	54	44	53	69	44	43
Il18r1	22	28	48	70	33	22	34	41
Il18rap	19	21	37	8	10	6	31	30
Slc9a4	6	10	21	7	12	21	7	5
Slc9a2	50	73	40	87	84	83	92	61
Mfsd9	21	12	21	18	12	23	32	28
Tmem182	324	367	833	993	1135	1257	930	891
AC101702.1	0	0	0	0	0	0	0	0
Gm9915	0	0	0	0	0	0	0	0
Gm20646	16	8	11	2	0	0	1	0
Mrps9	1801	1960	1582	1807	1291	1390	1369	1329
Gpr45	25	16	28	17	2	3	12	2
AC112941.1	0	0	0	0	0	0	0	0
Tgfbrap1	497	616	599	535	340	344	428	397
8430432A02Rik	4	3	4	6	0	0	0	1
AI597479	344	380	292	335	337	341	429	370
Fhl2	2676	2908	3292	2868	8889	8341	9437	9715
Nck2	2185	2894	2547	3113	533	399	835	799
1500015O10Rik	34	40	19	25	9	8	19	27
Uxs1	783	1019	791	815	268	248	408	390
AC125134.1	0	0	0	0	0	0	0	0
Tpp2	4866	5822	4870	5247	1636	1581	2222	2165
A530098C11Rik	8	34	31	19	1	1	0	1
Gm8251	42	63	45	57	0	0	0	0
1700029F09Rik	1115	1135	610	736	218	290	382	383
Bivm	280	271	263	206	172	175	233	197
Ercc5	588	616	498	536	461	504	536	530
4832428D23Rik	3	7	15	10	0	1	0	0
AC124406.1	0	0	0	0	0	0	0	0
Gulp1	982	1590	1493	876	482	426	750	708
Col3a1	15327	13679	14489	13627	2878	1636	12172	12177
Col5a2	5202	5244	6304	4005	655	563	3640	3344
AC109305.2	0	0	0	0	0	0	0	0
Wdr75	1346	1383	854	1057	381	402	566	552
Slc40a1	166	212	243	204	221	253	157	170
Rpl23a-ps1	1	2	0	0	0	0	0	2
Gm3852	0	0	0	0	0	0	0	0
Gm4776	0	0	0	0	0	0	0	0
Dnahc7b	237	312	95	99	148	138	214	184
Dnahc7c	1	1	0	1	1	1	0	0
Slc39a10	1001	1047	942	1015	213	206	393	346
AC134426.1	0	0	0	0	0	0	0	0
AC122246.1	0	0	0	0	0	0	0	0
C230029F24Rik	2	2	7	1	1	0	2	3
Tmeff2	62	100	96	121	56	25	38	31
Sdpr	1584	1588	1386	1153	947	923	1040	993
Obfc2a	685	618	724	1021	1123	1271	2233	1957
Myo1b	2982	3734	3517	2859	707	514	1055	1127
Gm8420	11	10	7	7	0	0	1	0
Stat4	106	143	51	58	18	8	40	38
Gm3940	7	9	8	3	3	3	3	3
Stat1	708	698	1683	2503	697	716	1150	1033
Gls	7883	9378	6493	8218	2044	1957	2648	2563
Nab1	1897	2296	1698	2160	521	483	655	693
Tmem194b	234	234	157	113	42	41	81	60
Mfsd6	795	968	600	674	361	352	529	471
Inpp1	349	399	479	410	172	151	224	242
Hibch	661	612	808	867	1478	1576	1793	1625
1700019D03Rik	8	24	34	6	42	41	38	43
Mstn	20	20	6	2	1	5	2	1
1700019A02Rik	12	10	32	10	7	8	6	6
Pms1	326	314	293	226	289	257	243	238
Ormdl1	271	293	110	159	159	162	156	153
Osgepl1	313	270	334	421	746	745	737	679
Asnsd1	646	646	408	521	785	810	921	868
Dnahc7a	40	37	51	38	2	6	6	3
Stk17b	1075	1159	921	1006	659	857	660	876
Hecw2	3414	4988	6001	5161	1112	1178	1739	1572
AC124175.1	0	0	0	0	0	0	0	0
Ccdc150	39	54	30	30	15	20	15	16
Gtf3c3	765	832	586	509	386	412	474	439
Pgap1	805	937	394	409	267	292	305	277
Ankrd44	1564	2192	2067	1662	1085	859	1104	1351
AC151572.1	0	0	0	0	0	0	0	0
Sf3b1	9497	9412	5862	7305	2649	3017	3059	3102
Coq10b	1245	1248	1133	1229	714	866	621	798
Hspd1	7525	6895	4386	5302	2983	3286	3192	3025
Hspe1	2146	1834	1374	1867	1173	1255	1249	1342
Mob4	1244	1241	775	1007	440	439	545	549
Rftn2	368	405	420	340	87	84	122	114
Mars2	166	160	108	122	94	90	104	90
Boll	23	33	32	20	1	3	2	4
Plcl1	883	1480	2753	2046	1095	1147	1414	1411
Hsfy2	0	0	0	0	0	0	0	0
Satb2	54	79	153	113	25	32	48	67
9130024F11Rik	1	0	0	0	0	0	0	0
AC101777.1	0	0	0	0	0	0	0	0
1700066M21Rik	144	147	81	89	42	45	61	55
1110034B05Rik	518	529	287	278	113	119	169	171
9430016H08Rik	562	562	350	364	288	316	377	350
Spats2l	1226	1482	1317	1694	314	334	456	421
Gm17234	2	4	3	5	2	0	0	1
Kctd18	380	412	297	283	174	178	240	207
Sgol2	1246	1346	626	685	374	379	356	310
Aox1	123	136	258	245	1615	1898	1150	1184
Aox3	45	58	14	15	25	25	9	11
Aox4	4	4	2	2	1	2	2	2
Gm15759	6	8	23	12	0	0	0	0
Aox3l1	5	9	11	5	1	1	2	2
Bzw1	4153	4146	1944	2330	777	809	1142	1071
Clk1	5213	4920	3420	5066	1946	2205	1851	2033
Ppil3	298	266	144	172	144	174	205	191
Nif3l1	443	465	293	232	140	154	205	182
Orc2	709	775	623	573	332	320	411	377
Gm15834	12	15	38	29	17	14	19	16
Fam126b	751	899	1002	1241	574	609	801	706
Ndufb3	382	339	349	385	671	669	697	760
Gm10068	24	29	5	8	3	1	2	5
Als2cr12	3	4	10	4	0	0	2	0
Cflar	1530	1644	2304	2196	911	904	1139	1154
Casp8	427	510	706	603	255	178	345	429
Trak2	3107	3467	3563	4922	2518	2471	3457	3285
Stradb	254	260	339	537	414	452	523	480
Tmem237	194	190	100	82	35	36	65	71
Mpp4	1061	1160	718	866	325	363	428	417
Cdk15	16	14	28	14	9	7	16	9
Fzd7	272	292	208	244	95	80	103	97
Gm973	10	16	23	5	4	1	4	2
Sumo1	1863	2101	1467	1630	737	753	805	789
Nop58	4475	4002	2207	2382	543	554	817	722
Bmpr2	2749	4070	4409	5196	1094	1053	1351	1432
Fam117b	1110	1645	1633	1710	765	954	615	802
Ica1l	27	33	36	23	8	13	1	5
Wdr12	591	610	400	477	268	281	404	391
Carf	224	247	344	262	259	221	258	282
Nbeal1	3314	4424	5450	6036	3650	3381	5007	4524
Cyp20a1	721	715	568	413	215	232	329	313
Abi2	2641	3342	1643	1608	377	344	654	552
Raph1	2490	3569	5105	5752	2797	2683	2850	3175
AL683804.1	0	0	0	0	0	0	0	0
Cd28	42	50	39	59	191	226	125	128
Gm11579	0	0	4	2	1	1	0	0
2310016D23Rik	1	4	8	4	11	5	10	7
Ctla4	57	41	20	19	238	236	66	118
Icos	24	25	18	12	7	3	12	9
Gm11587	0	0	0	0	0	0	0	0
9530026F06Rik	1	1	2	0	0	0	1	0
Gm11588	0	1	0	3	0	0	0	0
4930587A21Rik	0	0	0	1	0	0	0	0
Pard3b	5808	9726	7695	7757	3402	2912	3775	3785
4930448K12Rik	73	156	146	105	71	48	63	65
Gm12747	1	0	0	0	0	0	0	1
Gm11610	7	17	15	13	8	5	10	6
Nrp2	2018	2316	4835	4241	918	689	1483	1536
Ino80d	1620	2195	1967	2270	750	707	867	856
Gm11602	1010	1213	895	943	755	661	720	706
Ndufs1	7593	7261	4764	6979	9703	10712	9311	8857
Eef1b2	7042	6387	2651	3042	2070	2264	2555	2549
Gpr1	3	1	10	4	6	2	4	6
Gm11607	1	2	6	0	0	0	0	0
Gm11608	0	1	2	1	0	0	0	0
AL669947.1	0	0	0	0	0	0	0	0
Zdbf2	1024	1560	703	1240	37	33	13	28
Adam23	86	100	221	149	56	41	50	50
Dytn	2	0	1	1	0	0	2	0
Mdh1b	0	0	4	0	0	0	1	1
Fastkd2	641	627	330	385	350	330	432	404
4933402D24Rik	0	6	5	3	1	0	0	0
Gm13749	2	2	8	1	0	0	11	8
Klf7	1654	2287	3796	2463	1113	969	1388	1514
Gm13748	9	22	39	15	9	6	6	18
AC167197.1	0	0	0	0	0	0	0	0
Creb1	1579	1752	2051	2136	865	880	977	1050
Mettl21a	96	84	97	80	102	103	123	122
2810408I11Rik	72	78	73	53	2	3	2	0
Ccnyl1	1242	1468	1520	1589	363	376	513	555
Fzd5	360	382	300	537	83	89	107	76
Plekhm3	479	658	948	757	723	633	760	770
Akr1cl	4	4	6	2	0	0	1	0
Cryge	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0
Cryga	10	5	12	9	2	1	0	3
Idh1	1101	970	676	753	1061	1061	999	882
Pikfyve	1383	1605	1556	1768	610	560	834	806
Pth2r	15	24	93	46	1	0	2	1
Crygf	0	0	0	0	0	0	0	0
Mtap2	203	229	306	196	142	107	243	227
Gm10558	0	0	0	0	0	0	1	2
Unc80	21	24	23	18	3	14	10	8
Rpe	383	466	344	361	141	157	234	228
Kansl1l	1886	2609	3063	4444	1830	1976	2069	2143
Acadl	2766	3285	4248	6391	4798	5555	5241	4969
Myl1	397	370	107	254	387	363	951	827
Lancl1	435	398	273	294	310	313	375	319
Cps1	5	9	6	3	1	4	4	0
Gm15668	1	0	1	1	0	0	1	0
AC101752.1	0	0	0	0	0	0	0	0
Gm15669	0	0	0	0	0	0	0	0
AC101833.1	0	0	0	0	0	0	0	0
Gm15671	0	0	0	0	0	0	0	0
Erbb4	10368	16038	8076	12960	4811	4336	4879	4429
Ikzf2	538	830	584	726	561	544	662	538
Spag16	50	41	22	18	2	5	25	0
Vwc2l	7	5	3	1	0	0	3	0
Bard1	787	1037	590	670	52	48	118	103
Abca12	37	50	73	50	205	228	131	99
Atic	970	970	420	435	283	278	378	326
Fn1	6256	8377	7837	7956	702	550	2977	2901
Apol7d	36	52	38	37	5	0	13	13
Rpl21-ps1	0	2	1	0	1	0	1	0
Mreg	212	267	256	373	420	472	396	318
AC120136.3	103	105	55	55	44	34	52	43
AC120136.2	12	12	1	2	1	1	2	1
AC120136.1	30	37	22	27	47	40	70	66
Pecr	95	117	89	92	96	88	98	94
Tmem169	12	8	8	5	1	0	4	1
Xrcc5	619	628	339	395	538	604	616	568
4-Mar	13	12	12	9	9	6	6	8
Smarcal1	623	561	417	521	318	388	449	419
Ankar	4	4	12	1	0	0	0	0
Rpl37a	1822	1725	800	837	376	370	532	523
Igfbp2	237	256	25	47	2	0	29	33
Igfbp5	1934	2064	1510	1721	978	750	1124	974
Tnp1	0	0	0	0	0	0	1	0
Tns1	4330	4967	6717	7104	8140	9960	7484	7390
Rufy4	85	82	62	112	27	43	30	33
Cxcr2	24	31	35	22	17	11	12	17
Cxcr1	0	0	0	0	0	0	0	0
Mir1928	0	0	0	0	0	0	0	0
Arpc2	4161	4228	2676	3090	1503	1483	2037	2069
Gpbar1	5	4	1	3	0	0	0	0
Aamp	1160	1041	523	669	434	460	549	472
Pnkd	1062	1114	898	776	482	482	542	534
Tmbim1	887	853	641	872	325	354	576	486
Gm216	7	6	22	10	13	15	8	12
Slc11a1	16	21	41	18	76	61	64	81
Ctdsp1	507	481	362	415	281	274	286	317
Vil1	20	27	40	22	4	2	3	0
Usp37	2364	2590	1628	1769	470	484	666	610
Rqcd1	481	563	464	438	185	201	240	258
Plcd4	23	32	39	33	11	10	15	12
Zfp142	633	740	663	664	215	223	283	273
Bcs1l	168	196	130	110	171	192	257	199
Rnf25	421	332	194	236	141	144	180	162
Stk36	47	51	37	28	7	4	10	10
Ttll4	1191	1349	1110	1133	446	477	531	545
Cyp27a1	116	85	116	92	239	240	219	256
Prkag3	153	141	132	163	45	41	44	42
Wnt6	5	3	8	6	0	3	0	0
Wnt10a	8	3	2	0	0	0	0	0
Gm16582	1	1	3	2	0	0	0	0
Fev	7	3	3	2	0	0	0	0
Cryba2	0	0	0	0	0	0	0	0
Mir375	0	0	0	0	0	0	0	0
Ccdc108	3	5	8	6	0	0	0	0
Gm15841	0	0	1	0	0	0	0	0
Ihh	3	2	5	2	0	0	0	0
Nhej1	113	150	159	143	85	78	93	106
Slc23a3	35	33	29	30	8	2	5	5
1810031K17Rik	309	298	252	280	118	138	138	157
Fam134a	358	335	224	294	119	119	161	161
Zfand2b	142	131	71	94	66	59	94	57
Abcb6	297	282	252	256	241	272	363	331
Atg9a	269	251	267	321	291	318	383	313
Ankzf1	368	322	212	205	261	267	324	308
Glb1l	98	119	98	102	51	41	84	61
Stk16	311	288	188	232	139	137	174	151
Tuba4a	158	155	358	342	1006	1054	854	704
AC166150.1	2	0	12	8	0	0	0	0
Dnajb2	330	260	198	332	303	400	382	332
Ptprn	62	49	34	30	21	30	52	38
Resp18	1	1	4	1	0	0	0	0
Dnpep	555	490	310	399	337	397	469	412
Des	4536	4048	3029	5446	7072	8141	16946	13637
Gm15179	13	18	30	26	52	27	42	51
Speg	1088	1212	1377	1386	2032	2022	2312	2392
Gm15178	2	4	3	7	3	0	0	0
Gmppa	267	264	191	143	159	160	194	191
Accn4	14	11	16	9	0	0	0	1
Chpf	1762	1965	1176	1294	747	705	1007	909
Tmem198	12	8	12	4	2	5	7	4
Inha	38	36	35	35	35	41	22	38
Stk11ip	297	264	169	176	100	93	138	108
Slc4a3	580	571	677	878	1519	1693	1473	1425
Epha4	1810	2065	1553	2597	1634	1428	1360	1232
Pax3	8	7	11	7	4	4	2	5
Sgpp2	13	12	13	18	2	3	3	1
Farsb	1143	1456	1011	1203	686	696	765	744
BC035947	6	2	3	5	0	0	0	0
Mogat1	4	4	4	6	0	0	0	0
Acsl3	3300	3214	2158	3205	304	263	365	326
Kcne4	40	58	131	108	23	15	54	69
Gm5830	1	1	0	0	0	0	0	0
Scg2	1	0	1	1	0	0	1	1
Ap1s3	190	282	146	153	43	40	47	69
Wdfy1	891	980	968	1072	286	324	371	406
Mrpl44	229	203	146	150	241	268	266	244
Serpine2	769	850	884	724	200	177	379	367
Gm5529	11	10	8	11	1	2	2	4
AC083817.1	0	0	0	0	0	0	0	0
Fam124b	54	56	114	68	3	3	19	16
Cul3	6007	7246	5323	6925	3379	3645	3632	3670
Gm6189	0	0	0	0	0	0	0	0
Dock10	599	810	1325	825	580	403	917	1019
9430031J16Rik	7	15	10	9	1	0	6	0
Irs1	2145	2603	1806	2102	906	865	1336	1032
Gm9747	45	82	29	21	16	12	31	29
Rhbdd1	632	805	700	617	344	318	446	406
Col4a4	70	73	116	110	250	193	301	339
Col4a3	72	106	104	161	236	216	352	486
Mff	1793	2004	1450	1760	1057	1161	1290	1218
Tm4sf20	1	3	3	6	0	1	1	0
AC138214.1	2701	3359	2477	2808	655	675	924	911
Slc19a3	64	62	49	67	7	7	22	11
Ccl20	17	9	0	3	0	0	0	0
Wdr69	10	9	5	7	0	1	1	0
n-R5s214	0	0	0	0	0	0	0	0
Sphkap	877	957	207	321	11	3	20	5
AC158909.1	0	0	0	0	0	0	0	0
Pid1	226	367	1359	625	1840	1534	1613	2290
Dner	40	57	103	38	5	4	12	9
Mir5126	0	0	0	0	0	0	0	0
Trip12	8024	9413	8034	8953	3379	3346	4676	4343
Fbxo36	58	84	69	48	40	36	43	51
Slc16a14	3	2	0	0	16	16	2	16
C130026I21Rik	73	87	141	120	48	42	65	59
Gm10553	0	0	0	0	0	0	0	0
A530040E14Rik	4	6	8	4	6	4	3	4
Gm16028	0	0	2	0	0	0	0	0
Gm16025	7	8	6	6	4	5	4	4
Gm16092	4	3	18	7	8	1	1	0
AC147806.1	6	8	9	8	10	4	5	6
Sp110	23	30	104	129	88	67	102	118
Gm16094	0	0	0	2	0	0	1	2
Sp140	25	29	124	89	50	48	110	103
Gm17017	17	11	17	27	13	10	19	11
Sp100	23	22	550	764	596	453	641	777
A630001G21Rik	37	35	37	43	148	135	196	198
AC161342.2	1	0	1	1	0	0	0	0
AC161342.1	6	7	8	9	4	3	5	5
Cab39	3465	4078	2999	3812	1564	1701	1930	1946
Itm2c	999	878	497	569	273	257	340	323
4933407L21Rik	14	19	22	6	0	0	0	0
Gpr55	1	3	3	2	0	0	0	0
Spata3	0	0	0	0	0	0	0	0
2810459M11Rik	8	11	2	1	0	0	1	0
Psmd1	5043	5573	3594	4088	2327	2519	3073	2877
Htr2b	19	32	33	26	10	9	14	15
Gm16341	13	12	25	11	4	0	0	4
B3gnt7	11	8	1	9	3	1	2	1
Gm5258	0	0	0	0	0	0	0	0
Ncl	8502	8055	4687	5470	1838	1740	2152	1952
C130036L24Rik	43	30	53	32	19	19	31	24
Nmur1	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
Ptma	7436	7218	3211	3946	765	676	1206	1235
Pde6d	214	212	269	279	223	236	239	286
Cops7b	337	392	266	225	140	148	168	186
AC158132.1	0	0	0	0	0	0	0	0
Nppc	22	15	18	14	0	0	6	0
Dis3l2	1096	1448	1634	1221	1058	1022	1144	1134
Alppl2	0	0	0	0	0	0	0	0
Alpi	0	0	0	0	0	0	0	0
Akp3	0	0	0	0	0	0	0	0
Ecel1	11	10	6	2	1	0	0	0
Prss56	0	0	0	0	0	0	0	0
Chrnd	1	2	1	0	1	0	0	0
Chrng	5	11	0	1	1	0	0	0
Eif4e2	1667	1740	1049	1164	558	614	794	758
Efhd1	17	12	39	18	41	17	49	77
Gm16535	0	0	0	0	0	0	0	0
Gigyf2	2156	2578	3091	3419	1528	1556	1864	1954
AC158961.1	0	0	0	0	0	0	0	0
Kcnj13	7	12	17	15	9	4	5	10
3110079O15Rik	1	1	3	1	0	0	0	0
Ngef	45	59	44	44	22	12	21	25
Neu2	8	4	12	7	0	1	3	1
Inpp5d	261	291	1487	806	510	457	511	810
Atg16l1	1607	1581	1234	1193	737	722	850	854
5830472F04Rik	1	1	6	1	2	3	1	2
Sag	51	69	88	74	29	36	21	30
Dgkd	1890	2131	2280	2272	1093	1038	1276	1305
Usp40	955	956	736	722	881	942	1105	1057
